tau,OS,MES,S-MES,MCIS,S-MCIS
30000,0.001202307802085839,0.0020083632901513495,0.0007468663637481092,0.0018799349058150256,
40000,0.000711437479747195,0.0012959186999124742,0.0005481305452238008,0.0015009277587894872,
50000,0.0005263057629857686,0.0011975411407691523,0.00039332640319433235,0.0011765998330265362,
60000,0.0005568004456092698,0.0008149801118342373,0.0003560343456233858,0.0008633725856426642,
70000,0.0003760337604234204,0.0007965689681546312,0.00031716886380467107,0.0009010946373772834,0.00011337253359062023
80000,0.00033364726444990567,0.0006782813491450137,0.0002757552247991649,0.0007162133585615466,9.574016511993678e-05
100000,0.0002710830666234314,0.0005168079177067702,0.00024018052055328377,0.0006527486984111188,6.759920450015383e-05
