T,OS,MES,S-MES,MCIS,S-MCIS
10000,2.0121830083096415e-06,3.910178041431164e-06,2.1861892814019454e-06,3.3265873448766193e-06,2.375035014709049e-06
15000,1.4459925812233601e-06,2.037482516021953e-06,1.5564053744619293e-06,2.54200438679189e-06,1.4438151413816345e-06
20000,1.0901793204106694e-06,1.846371049658639e-06,1.0623703667822056e-06,1.5568982209460845e-06,8.891361151946558e-07
25000,8.973988401668992e-07,1.4962917329557545e-06,9.056764372776197e-07,1.3474035040773072e-06,8.039176035188265e-07
30000,7.887787535129029e-07,1.0596784484198473e-06,8.217711960861422e-07,1.1155226262133194e-06,6.200586182391641e-07
40000,5.348556250263467e-07,8.753520657481614e-07,5.747454855967557e-07,9.280213728852045e-07,4.7325654673846864e-07
50000,4.3175838011172714e-07,6.884422654662783e-07,4.654490443905224e-07,6.109008345550372e-07,3.8160540137958964e-07
