tau,OS,MES,S-MES,MCIS,S-MCIS
10000,0.03130543794829789,0.043464556375222486,0.03198680235113961,0.04566336798209328,0.024902525595587227
15000,0.020543726591538452,0.02852763514434779,0.021319695530493978,0.03287769833137122,0.01786403827885172
20000,0.015188533709578983,0.021298922747463464,0.015641330791828712,0.022825778830499868,0.013955958031855367
25000,0.01200777537665799,0.018689424508944875,0.012019476391261847,0.018223572849493976,0.01090027262491543
30000,0.011257899702814331,0.015444925935721028,0.010771349536283214,0.01432815169983899,0.010290421218670732
40000,0.0075197232249377,0.010447670061975655,0.00747837426139695,0.01198789290161914,0.006934567615278097
50000,0.00679270405137404,0.008561145708738404,0.006130370130896472,0.009685307627353713,0.005467336368580467
