tau,OS,MES,S-MES,MCIS,S-MCIS
10000,2.0352093164874498e-05,2.7499104922333885e-05,1.9270323101405203e-05,2.495399930296612e-05,1.9939389887188368e-05
15000,1.4344867933197801e-05,1.953443799760271e-05,1.215708319105788e-05,1.9948364341066878e-05,1.374167253464866e-05
20000,1.0384505303205148e-05,1.4004425490802444e-05,1.021108768704097e-05,1.5182909012783699e-05,8.30793444881194e-06
25000,8.488163742301723e-06,1.064788314154758e-05,8.495286757044795e-06,1.1149228215562228e-05,7.924567223381755e-06
30000,6.482652405428925e-06,1.0165458299873646e-05,6.823183985339644e-06,1.0954795434630408e-05,6.10412872661946e-06
40000,5.547655261206631e-06,7.341394353103042e-06,5.3414617962199155e-06,6.90963686731421e-06,5.15897690528283e-06
50000,3.771187093194809e-06,5.1572673697000366e-06,4.244792821159056e-06,5.4686485957470575e-06,3.857194366888259e-06
