T,OS,MES,S-MES,MCIS,S-MCIS
30000,3.058389097872771e-05,3.118715306677304e-05,2.977058542136212e-05,3.197878430576058e-05,2.6511386762909497e-05
40000,2.340060707787079e-05,2.6053840788438702e-05,2.2096581112521628e-05,2.3826407911057876e-05,1.9280985095259497e-05
50000,1.8783154544414514e-05,1.9342610867732048e-05,1.9687110262045825e-05,1.905688456801874e-05,1.5545513522980298e-05
60000,1.5394941344440862e-05,1.6989571027056456e-05,1.544990588034488e-05,1.7336188014453962e-05,1.2890451115195482e-05
70000,1.3370720706830284e-05,1.4383216991771318e-05,1.3041052820856754e-05,1.4950566800467911e-05,1.1203029510427853e-05
80000,1.1991065139751941e-05,1.2496307696046865e-05,1.1844714668764687e-05,1.3021960089245391e-05,1.0285490284400847e-05
100000,9.85767707019869e-06,1.050006161134942e-05,9.499851752241537e-06,9.688554443845615e-06,7.885577333305718e-06
